Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Cuyama,C3,12,open,,,,4,
Cuyama,C3,13,ephedra,340,295,195,25,
Cuyama,C3,13,open,,,,20,
Cuyama,C3,14,ephedra,315,305,155,75,Y
Cuyama,C3,14,open,,,,25,Y
Cuyama,C3,15,ephedra,280,250,145,20,
Cuyama,C3,15,open,,,,30,
Cuyama,C3,16,ephedra,295,340,295,55,
Cuyama,C3,16,open,,,,10,
Cuyama,C3,17,ephedra,390,350,165,40,
Cuyama,C3,17,open,,,,10,
Cuyama,C3,18,ephedra,455,425,235,50,Y
Cuyama,C3,18,open,,,,3,N
Cuyama,C3,19,ephedra,260,255,160,15,
Cuyama,C3,19,open,,,,65,
Cuyama,C3,20,ephedra,400,355,180,25,
Cuyama,C3,20,open,,,,79,
Cuyama,C3,21,ephedra,490,450,235,15,
Cuyama,C3,21,open,,,,75,
Cuyama,C3,22,ephedra,220,210,145,30,Y
Cuyama,C3,22,open,,,,97,Y
Cuyama,C3,23,ephedra,310,290,225,55,
Cuyama,C3,23,open,,,,2,
Cuyama,C3,24,ephedra,630,440,245,8,
Cuyama,C3,24,open,,,,8,
Cuyama,C3,25,ephedra,455,415,175,15,
Cuyama,C3,25,open,,,,4,
Cuyama,C3,26,ephedra,360,320,200,20,Y
Cuyama,C3,26,open,,,,0,Y
Cuyama,C3,27,ephedra,470,410,245,10,
Cuyama,C3,27,open,,,,25,
Cuyama,C3,28,ephedra,330,310,155,70,
Cuyama,C3,28,open,,,,,
Cuyama,C3,29,ephedra,375,360,185,35,Y
Cuyama,C3,29,open,,,,2,Y
Cuyama,C3,30,ephedra,370,360,185,75,
Cuyama,C3,30,open,,,,25,
Mojave,M1,1,ephedra,160,75,90,20,
Mojave,M1,1,larrea,390,270,190,0,
Mojave,M1,1,open,,,,5,
Mojave,M1,2,ephedra,140,140,75,15,Y
Mojave,M1,2,larrea,245,215,155,15,Y
Mojave,M1,2,open,,,,0,Y
Mojave,M1,3,ephedra,130,75,90,4,
Mojave,M1,3,larrea,260,220,180,10,
Mojave,M1,3,open,,,,8,
Mojave,M1,4,ephedra,110,65,80,25,
Mojave,M1,4,larrea,280,230,230,10,
Mojave,M1,4,open,,,,20,
Mojave,M1,5,ephedra,215,135,110,20,
Mojave,M1,5,larrea,235,165,90,2,
Mojave,M1,5,open,,,,0,
Mojave,M1,6,ephedra,235,205,100,5,Y
Mojave,M1,6,larrea,395,270,280,8,Y
Mojave,M1,6,open,,,,5,Y
Mojave,M1,7,ephedra,100,85,75,15,
Mojave,M1,7,larrea,180,170,90,15,
Mojave,M1,7,open,,,,15,
Mojave,M1,8,ephedra,95,85,70,40,
Mojave,M1,8,larrea,375,320,295,0,
Mojave,M1,8,open,,,,25,
Mojave,M1,9,ephedra,210,180,85,15,
Mojave,M1,9,larrea,310,215,215,20,
Mojave,M1,9,open,,,,0,
